,X.1,X,Transect_no,Quadrat_no,site,Season,Location,Method,Cover_Type,Coverage_count
1,1,1,2,4,Caplin_cove_100m,Summer,Edge,Drone,Eelgrass,98
2,2,2,2,3,Caplin_cove_100m,Summer,Edge,Drone,Eelgrass,99
3,3,3,2,2,Caplin_cove_100m,Summer,Edge,Drone,Eelgrass,55
4,4,4,2,1,Caplin_cove_100m,Summer,Edge,Drone,Eelgrass,70
5,5,5,1,4,Caplin_cove_100m,Summer,Inside,Drone,Eelgrass,102
6,6,6,1,3,Caplin_cove_100m,Summer,Inside,Drone,Eelgrass,99
7,7,7,1,2,Caplin_cove_100m,Summer,Inside,Drone,Eelgrass,99
8,8,8,1,1,Caplin_cove_100m,Summer,Inside,Drone,Eelgrass,100
9,9,1,2,4,Caplin_cove_50m,Summer,Edge,Drone,Eelgrass,70
10,10,2,2,3,Caplin_cove_50m,Summer,Edge,Drone,Eelgrass,90
11,11,3,2,2,Caplin_cove_50m,Summer,Edge,Drone,Eelgrass,66
12,12,4,2,1,Caplin_cove_50m,Summer,Edge,Drone,Eelgrass,32
13,13,5,1,4,Caplin_cove_50m,Summer,Inside,Drone,Eelgrass,80
14,14,6,1,3,Caplin_cove_50m,Summer,Inside,Drone,Eelgrass,100
15,15,7,1,2,Caplin_cove_50m,Summer,Inside,Drone,Eelgrass,100
16,16,8,1,1,Caplin_cove_50m,Summer,Inside,Drone,Eelgrass,98
17,17,1,1,1,NH,Summer,Inside,Drone,Eelgrass,98
18,18,2,1,2,NH,Summer,Inside,Drone,Eelgrass,101
19,19,3,1,3,NH,Summer,Inside,Drone,Eelgrass,102
20,20,4,1,4,NH,Summer,Inside,Drone,Eelgrass,101
21,21,5,2,1,NH,Summer,Edge,Drone,Eelgrass,94
22,22,6,2,2,NH,Summer,Edge,Drone,Eelgrass,100
23,23,7,2,3,NH,Summer,Edge,Drone,Eelgrass,100
24,24,8,2,4,NH,Summer,Edge,Drone,Eelgrass,99
25,1,1,2,4,Caplin_cove_100m,Summer,Edge,Drone,Substrate,0
26,2,2,2,3,Caplin_cove_100m,Summer,Edge,Drone,Substrate,0
27,3,3,2,2,Caplin_cove_100m,Summer,Edge,Drone,Substrate,3
28,4,4,2,1,Caplin_cove_100m,Summer,Edge,Drone,Substrate,0
29,5,5,1,4,Caplin_cove_100m,Summer,Inside,Drone,Substrate,0
30,6,6,1,3,Caplin_cove_100m,Summer,Inside,Drone,Substrate,0
31,7,7,1,2,Caplin_cove_100m,Summer,Inside,Drone,Substrate,0
32,8,8,1,1,Caplin_cove_100m,Summer,Inside,Drone,Substrate,0
33,9,1,2,4,Caplin_cove_50m,Summer,Edge,Drone,Substrate,0
34,10,2,2,3,Caplin_cove_50m,Summer,Edge,Drone,Substrate,0
35,11,3,2,2,Caplin_cove_50m,Summer,Edge,Drone,Substrate,0
36,12,4,2,1,Caplin_cove_50m,Summer,Edge,Drone,Substrate,0
37,13,5,1,4,Caplin_cove_50m,Summer,Inside,Drone,Substrate,0
38,14,6,1,3,Caplin_cove_50m,Summer,Inside,Drone,Substrate,0
39,15,7,1,2,Caplin_cove_50m,Summer,Inside,Drone,Substrate,0
40,16,8,1,1,Caplin_cove_50m,Summer,Inside,Drone,Substrate,0
41,17,1,1,1,NH,Summer,Inside,Drone,Substrate,0
42,18,2,1,2,NH,Summer,Inside,Drone,Substrate,0
43,19,3,1,3,NH,Summer,Inside,Drone,Substrate,0
44,20,4,1,4,NH,Summer,Inside,Drone,Substrate,0
45,21,5,2,1,NH,Summer,Edge,Drone,Substrate,0
46,22,6,2,2,NH,Summer,Edge,Drone,Substrate,0
47,23,7,2,3,NH,Summer,Edge,Drone,Substrate,0
48,24,8,2,4,NH,Summer,Edge,Drone,Substrate,0
49,1,1,2,4,Caplin_cove_100m,Summer,Edge,Drone,All_seaweed,2
50,2,2,2,3,Caplin_cove_100m,Summer,Edge,Drone,All_seaweed,1
51,3,3,2,2,Caplin_cove_100m,Summer,Edge,Drone,All_seaweed,42
52,4,4,2,1,Caplin_cove_100m,Summer,Edge,Drone,All_seaweed,30
53,5,5,1,4,Caplin_cove_100m,Summer,Inside,Drone,All_seaweed,0
54,6,6,1,3,Caplin_cove_100m,Summer,Inside,Drone,All_seaweed,0
