,X.1,X,Transect_no,Quadrat_no,site,Season,Location,Method,Cover_Type,Coverage_count
1,1,1,1,1,BL,Summer,Outside,Drone,Substrate,0
2,2,2,6,4,BL,Summer,Edge,Drone,Substrate,0
3,3,3,6,3,BL,Summer,Edge,Drone,Substrate,0
4,4,4,6,2,BL,Summer,Edge,Drone,Substrate,0
5,5,5,6,1,BL,Summer,Edge,Drone,Substrate,17
6,6,6,5,4,BL,Summer,Inside,Drone,Substrate,22
7,7,7,5,3,BL,Summer,Inside,Drone,Substrate,6
8,8,8,5,2,BL,Summer,Inside,Drone,Substrate,3
9,9,9,5,1,BL,Summer,Inside,Drone,Substrate,7
10,10,10,4,4,BL,Summer,Outside,Drone,Substrate,21
11,11,11,4,3,BL,Summer,Outside,Drone,Substrate,88
12,12,12,4,2,BL,Summer,Outside,Drone,Substrate,92
13,13,13,4,1,BL,Summer,Outside,Drone,Substrate,99
14,14,14,3,4,BL,Summer,Edge,Drone,Substrate,7
15,15,15,3,3,BL,Summer,Edge,Drone,Substrate,33
16,16,16,3,2,BL,Summer,Edge,Drone,Substrate,0
17,17,17,3,1,BL,Summer,Edge,Drone,Substrate,35
18,18,18,2,4,BL,Summer,Inside,Drone,Substrate,0
19,19,19,2,3,BL,Summer,Inside,Drone,Substrate,0
20,20,20,2,2,BL,Summer,Inside,Drone,Substrate,0
21,21,21,2,1,BL,Summer,Inside,Drone,Substrate,0
22,22,22,1,4,BL,Summer,Outside,Drone,Substrate,0
23,23,23,1,3,BL,Summer,Outside,Drone,Substrate,2
24,24,24,1,2,BL,Summer,Outside,Drone,Substrate,0
25,25,1,1,1,BL,Fall,Outside,Drone,Substrate,0
26,26,2,6,4,BL,Fall,Edge,Drone,Substrate,0
27,27,3,6,3,BL,Fall,Edge,Drone,Substrate,0
28,28,4,6,2,BL,Fall,Edge,Drone,Substrate,0
29,29,5,6,1,BL,Fall,Edge,Drone,Substrate,0
30,30,6,5,4,BL,Fall,Inside,Drone,Substrate,0
31,31,7,5,3,BL,Fall,Inside,Drone,Substrate,0
32,32,8,5,2,BL,Fall,Inside,Drone,Substrate,0
33,33,9,5,1,BL,Fall,Inside,Drone,Substrate,0
34,34,10,4,4,BL,Fall,Outside,Drone,Substrate,98
35,35,11,4,3,BL,Fall,Outside,Drone,Substrate,99
36,36,12,4,2,BL,Fall,Outside,Drone,Substrate,80
37,37,13,4,1,BL,Fall,Outside,Drone,Substrate,98
38,38,14,3,4,BL,Fall,Edge,Drone,Substrate,9
39,39,15,3,3,BL,Fall,Edge,Drone,Substrate,15
40,40,16,3,2,BL,Fall,Edge,Drone,Substrate,41
41,41,17,3,1,BL,Fall,Edge,Drone,Substrate,0
42,42,18,2,4,BL,Fall,Inside,Drone,Substrate,0
43,43,19,2,3,BL,Fall,Inside,Drone,Substrate,0
44,44,20,2,2,BL,Fall,Inside,Drone,Substrate,0
45,45,21,2,1,BL,Fall,Inside,Drone,Substrate,6
46,46,22,1,4,BL,Fall,Outside,Drone,Substrate,71
47,47,23,1,3,BL,Fall,Outside,Drone,Substrate,4
48,48,24,1,2,BL,Fall,Outside,Drone,Substrate,0
49,49,1,7,4,SC,Summer,Inside,Drone,Substrate,34
50,50,2,7,3,SC,Summer,Inside,Drone,Substrate,50
51,51,3,7,2,SC,Summer,Inside,Drone,Substrate,72
52,52,4,7,1,SC,Summer,Inside,Drone,Substrate,46
53,53,5,6,4,SC,Summer,Inside,Drone,Substrate,0
54,54,6,6,3,SC,Summer,Inside,Drone,Substrate,14
55,55,7,6,2,SC,Summer,Inside,Drone,Substrate,62
56,56,8,6,1,SC,Summer,Inside,Drone,Substrate,37
57,57,9,5,4,SC,Summer,Outside,Drone,Substrate,0
58,58,10,5,3,SC,Summer,Outside,Drone,Substrate,0
59,59,11,5,2,SC,Summer,Outside,Drone,Substrate,20
60,60,12,5,1,SC,Summer,Outside,Drone,Substrate,72
61,61,13,4,4,SC,Summer,Edge,Drone,Substrate,0
62,62,14,4,3,SC,Summer,Edge,Drone,Substrate,36
63,63,15,4,2,SC,Summer,Edge,Drone,Substrate,60
64,64,16,4,1,SC,Summer,Edge,Drone,Substrate,63
65,65,17,3,4,SC,Summer,Outside,Drone,Substrate,0
66,66,18,3,3,SC,Summer,Outside,Drone,Substrate,0
67,67,19,3,2,SC,Summer,Outside,Drone,Substrate,0
68,68,20,3,1,SC,Summer,Outside,Drone,Substrate,2
69,73,25,2,4,SC,Summer,Edge,Drone,Substrate,38
70,74,26,2,3,SC,Summer,Edge,Drone,Substrate,78
71,75,27,2,2,SC,Summer,Edge,Drone,Substrate,67
72,76,28,2,1,SC,Summer,Edge,Drone,Substrate,25
73,77,1,7,4,SC,Fall,Inside,Drone,Substrate,18
74,78,2,7,3,SC,Fall,Inside,Drone,Substrate,8
75,79,3,7,2,SC,Fall,Inside,Drone,Substrate,14
76,80,4,7,1,SC,Fall,Inside,Drone,Substrate,5
77,81,5,6,4,SC,Fall,Inside,Drone,Substrate,0
78,82,6,6,3,SC,Fall,Inside,Drone,Substrate,0
79,83,7,6,2,SC,Fall,Inside,Drone,Substrate,46
80,84,8,6,1,SC,Fall,Inside,Drone,Substrate,77
81,85,9,5,4,SC,Fall,Outside,Drone,Substrate,0
82,86,10,5,3,SC,Fall,Outside,Drone,Substrate,0
83,87,11,5,2,SC,Fall,Outside,Drone,Substrate,52
84,88,12,5,1,SC,Fall,Outside,Drone,Substrate,99
85,89,13,4,4,SC,Fall,Edge,Drone,Substrate,0
86,90,14,4,3,SC,Fall,Edge,Drone,Substrate,100
87,91,15,4,2,SC,Fall,Edge,Drone,Substrate,71
88,92,16,4,1,SC,Fall,Edge,Drone,Substrate,97
89,93,17,3,4,SC,Fall,Outside,Drone,Substrate,0
90,94,18,3,3,SC,Fall,Outside,Drone,Substrate,0
91,95,19,3,2,SC,Fall,Outside,Drone,Substrate,0
92,96,20,3,1,SC,Fall,Outside,Drone,Substrate,0
93,101,25,2,4,SC,Fall,Edge,Drone,Substrate,97
94,102,26,2,3,SC,Fall,Edge,Drone,Substrate,47
95,103,27,2,2,SC,Fall,Edge,Drone,Substrate,9
96,104,28,2,1,SC,Fall,Edge,Drone,Substrate,27
97,105,1,1,1,NH,Summer,Inside,Drone,Substrate,0
98,106,2,1,2,NH,Summer,Inside,Drone,Substrate,0
99,107,3,1,3,NH,Summer,Inside,Drone,Substrate,0
100,108,4,1,4,NH,Summer,Inside,Drone,Substrate,0
101,109,5,2,1,NH,Summer,Edge,Drone,Substrate,0
102,110,6,2,2,NH,Summer,Edge,Drone,Substrate,0
103,111,7,2,3,NH,Summer,Edge,Drone,Substrate,0
104,112,8,2,4,NH,Summer,Edge,Drone,Substrate,0
105,113,9,3,1,NH,Summer,Outside,Drone,Substrate,95
106,114,10,3,2,NH,Summer,Outside,Drone,Substrate,1
107,115,11,3,3,NH,Summer,Outside,Drone,Substrate,0
108,116,12,3,4,NH,Summer,Outside,Drone,Substrate,0
109,117,13,4,1,NH,Summer,Inside,Drone,Substrate,36
110,118,14,4,2,NH,Summer,Inside,Drone,Substrate,0
111,119,15,4,3,NH,Summer,Inside,Drone,Substrate,20
112,120,16,4,4,NH,Summer,Inside,Drone,Substrate,61
113,121,17,5,1,NH,Summer,Edge,Drone,Substrate,99
114,122,18,5,2,NH,Summer,Edge,Drone,Substrate,97
115,123,19,5,3,NH,Summer,Edge,Drone,Substrate,97
116,124,20,5,4,NH,Summer,Edge,Drone,Substrate,0
117,125,21,6,1,NH,Summer,Outside,Drone,Substrate,93
118,126,22,6,2,NH,Summer,Outside,Drone,Substrate,89
119,127,23,6,3,NH,Summer,Outside,Drone,Substrate,79
120,128,24,6,4,NH,Summer,Outside,Drone,Substrate,72
121,129,1,1,1,NH,Fall,Inside,Drone,Substrate,0
122,130,2,1,2,NH,Fall,Inside,Drone,Substrate,0
123,131,3,1,3,NH,Fall,Inside,Drone,Substrate,0
124,132,4,1,4,NH,Fall,Inside,Drone,Substrate,0
125,133,5,2,1,NH,Fall,Edge,Drone,Substrate,0
126,134,6,2,2,NH,Fall,Edge,Drone,Substrate,0
127,135,7,2,3,NH,Fall,Edge,Drone,Substrate,0
128,136,8,2,4,NH,Fall,Edge,Drone,Substrate,0
129,137,9,3,1,NH,Fall,Outside,Drone,Substrate,89
130,138,10,3,2,NH,Fall,Outside,Drone,Substrate,8
131,139,11,3,3,NH,Fall,Outside,Drone,Substrate,0
132,140,12,3,4,NH,Fall,Outside,Drone,Substrate,0
133,141,13,4,1,NH,Fall,Inside,Drone,Substrate,5
134,142,14,4,2,NH,Fall,Inside,Drone,Substrate,25
135,143,15,4,3,NH,Fall,Inside,Drone,Substrate,64
136,144,16,4,4,NH,Fall,Inside,Drone,Substrate,32
137,145,17,5,1,NH,Fall,Edge,Drone,Substrate,79
138,146,18,5,2,NH,Fall,Edge,Drone,Substrate,99
139,147,19,5,3,NH,Fall,Edge,Drone,Substrate,101
140,148,20,5,4,NH,Fall,Edge,Drone,Substrate,0
141,149,21,6,1,NH,Fall,Outside,Drone,Substrate,97
142,150,22,6,2,NH,Fall,Outside,Drone,Substrate,100
143,151,23,6,3,NH,Fall,Outside,Drone,Substrate,101
144,152,24,6,4,NH,Fall,Outside,Drone,Substrate,100
145,1,1,1,1,BL,Summer,Outside,Drone,Deep_water,NA
146,2,2,6,4,BL,Summer,Edge,Drone,Deep_water,NA
147,3,3,6,3,BL,Summer,Edge,Drone,Deep_water,NA
148,4,4,6,2,BL,Summer,Edge,Drone,Deep_water,NA
149,5,5,6,1,BL,Summer,Edge,Drone,Deep_water,NA
150,6,6,5,4,BL,Summer,Inside,Drone,Deep_water,NA
151,7,7,5,3,BL,Summer,Inside,Drone,Deep_water,NA
152,8,8,5,2,BL,Summer,Inside,Drone,Deep_water,NA
153,9,9,5,1,BL,Summer,Inside,Drone,Deep_water,NA
154,10,10,4,4,BL,Summer,Outside,Drone,Deep_water,NA
155,11,11,4,3,BL,Summer,Outside,Drone,Deep_water,NA
156,12,12,4,2,BL,Summer,Outside,Drone,Deep_water,NA
157,13,13,4,1,BL,Summer,Outside,Drone,Deep_water,NA
158,14,14,3,4,BL,Summer,Edge,Drone,Deep_water,NA
159,15,15,3,3,BL,Summer,Edge,Drone,Deep_water,NA
160,16,16,3,2,BL,Summer,Edge,Drone,Deep_water,NA
161,17,17,3,1,BL,Summer,Edge,Drone,Deep_water,NA
162,18,18,2,4,BL,Summer,Inside,Drone,Deep_water,NA
163,19,19,2,3,BL,Summer,Inside,Drone,Deep_water,NA
164,20,20,2,2,BL,Summer,Inside,Drone,Deep_water,NA
165,21,21,2,1,BL,Summer,Inside,Drone,Deep_water,NA
166,22,22,1,4,BL,Summer,Outside,Drone,Deep_water,NA
167,23,23,1,3,BL,Summer,Outside,Drone,Deep_water,NA
168,24,24,1,2,BL,Summer,Outside,Drone,Deep_water,NA
169,25,1,1,1,BL,Fall,Outside,Drone,Deep_water,NA
170,26,2,6,4,BL,Fall,Edge,Drone,Deep_water,NA
171,27,3,6,3,BL,Fall,Edge,Drone,Deep_water,NA
172,28,4,6,2,BL,Fall,Edge,Drone,Deep_water,NA
173,29,5,6,1,BL,Fall,Edge,Drone,Deep_water,NA
174,30,6,5,4,BL,Fall,Inside,Drone,Deep_water,NA
175,31,7,5,3,BL,Fall,Inside,Drone,Deep_water,NA
176,32,8,5,2,BL,Fall,Inside,Drone,Deep_water,NA
177,33,9,5,1,BL,Fall,Inside,Drone,Deep_water,NA
178,34,10,4,4,BL,Fall,Outside,Drone,Deep_water,NA
179,35,11,4,3,BL,Fall,Outside,Drone,Deep_water,NA
180,36,12,4,2,BL,Fall,Outside,Drone,Deep_water,NA
181,37,13,4,1,BL,Fall,Outside,Drone,Deep_water,NA
182,38,14,3,4,BL,Fall,Edge,Drone,Deep_water,NA
183,39,15,3,3,BL,Fall,Edge,Drone,Deep_water,NA
184,40,16,3,2,BL,Fall,Edge,Drone,Deep_water,NA
185,41,17,3,1,BL,Fall,Edge,Drone,Deep_water,NA
186,42,18,2,4,BL,Fall,Inside,Drone,Deep_water,NA
187,43,19,2,3,BL,Fall,Inside,Drone,Deep_water,NA
188,44,20,2,2,BL,Fall,Inside,Drone,Deep_water,NA
189,45,21,2,1,BL,Fall,Inside,Drone,Deep_water,NA
190,46,22,1,4,BL,Fall,Outside,Drone,Deep_water,NA
191,47,23,1,3,BL,Fall,Outside,Drone,Deep_water,NA
192,48,24,1,2,BL,Fall,Outside,Drone,Deep_water,NA
193,49,1,7,4,SC,Summer,Inside,Drone,Deep_water,0
194,50,2,7,3,SC,Summer,Inside,Drone,Deep_water,3
195,51,3,7,2,SC,Summer,Inside,Drone,Deep_water,0
196,52,4,7,1,SC,Summer,Inside,Drone,Deep_water,0
197,53,5,6,4,SC,Summer,Inside,Drone,Deep_water,30
198,54,6,6,3,SC,Summer,Inside,Drone,Deep_water,1
199,55,7,6,2,SC,Summer,Inside,Drone,Deep_water,5
200,56,8,6,1,SC,Summer,Inside,Drone,Deep_water,2
201,57,9,5,4,SC,Summer,Outside,Drone,Deep_water,101
202,58,10,5,3,SC,Summer,Outside,Drone,Deep_water,90
203,59,11,5,2,SC,Summer,Outside,Drone,Deep_water,5
204,60,12,5,1,SC,Summer,Outside,Drone,Deep_water,0
205,61,13,4,4,SC,Summer,Edge,Drone,Deep_water,101
206,62,14,4,3,SC,Summer,Edge,Drone,Deep_water,0
207,63,15,4,2,SC,Summer,Edge,Drone,Deep_water,0
208,64,16,4,1,SC,Summer,Edge,Drone,Deep_water,1
209,65,17,3,4,SC,Summer,Outside,Drone,Deep_water,0
210,66,18,3,3,SC,Summer,Outside,Drone,Deep_water,81
211,67,19,3,2,SC,Summer,Outside,Drone,Deep_water,79
212,68,20,3,1,SC,Summer,Outside,Drone,Deep_water,94
213,73,25,2,4,SC,Summer,Edge,Drone,Deep_water,0
214,74,26,2,3,SC,Summer,Edge,Drone,Deep_water,0
215,75,27,2,2,SC,Summer,Edge,Drone,Deep_water,2
216,76,28,2,1,SC,Summer,Edge,Drone,Deep_water,0
217,77,1,7,4,SC,Fall,Inside,Drone,Deep_water,0
218,78,2,7,3,SC,Fall,Inside,Drone,Deep_water,0
219,79,3,7,2,SC,Fall,Inside,Drone,Deep_water,0
220,80,4,7,1,SC,Fall,Inside,Drone,Deep_water,0
221,81,5,6,4,SC,Fall,Inside,Drone,Deep_water,0
222,82,6,6,3,SC,Fall,Inside,Drone,Deep_water,0
223,83,7,6,2,SC,Fall,Inside,Drone,Deep_water,0
