ID,Season,Site,Date,Classification,Ncoor_DD,Wcoor_DD,Blue,Green,Red
1,Summer 2020 ,NH,Made,Eelgrass,47.879718,-54.083582,55,48,33
2,Summer 2020 ,NH,Made,Eelgrass,47.87978,-54.083608,52,51,33
3,Summer 2020 ,NH,Made,Eelgrass,47.879843,-54.083971,67,68,48
4,Summer 2020,NH,Made,Eelgrass,47.879869,-54.084031,64,66,43
5,Summer 2020,NH,Made,Eelgrass,47.880145,-54.083096,61,72,58
6,Summer 2020,NH,Made,Eelgrass,47.880422,-54.083467,57,60,40
7,Summer 2020,NH,Made,Eelgrass,47.878435,-54.083812,74,65,40
8,Summer 2020,NH,Made,Eelgrass,47.878022,-54.084123,71,52,28
9,Summer 2020,NH,Made,Eelgrass,47.87753,-54.084762,75,64,34
10,Summer 2020,NH,Made,Eelgrass,47.87753,-54.084613,78,63,41
11,Summer 2020,NH,Made,Eelgrass,47.877757,-54.08543,78,60,37
12,Summer 2020,NH,Made,Eelgrass,47.877959,-54.084783,85,73,46
13,Summer 2020,NH,Made,Eelgrass,47.878137,-54.084933,76,61,37
14,Summer 2020,NH,Made,Eelgrass,47.876631,-54.08125,71,61,39
15,Summer 2020,NH,Made,Eelgrass,47.876952,-54.080686,72,77,52
16,Summer 2020,NH,Made,Eelgrass,47.876931,-54.080451,70,68,43
17,Summer 2020,NH,Made,Eelgrass,47.87727,-54.080165,75,76,54
18,Summer 2020,NH,Made,Eelgrass,47.876196,-54.080533,55,42,28
19,Summer 2020,NH,Made,Eelgrass,47.876663,-54.081512,70,63,44
20,Summer 2020,NH,Made,Eelgrass,47.875641,-54.080933,53,42,34
21,Summer 2020,NH,Made,Eelgrass,47.876953,-54.081244,75,73,51
22,Summer 2020,NH,Made,Eelgrass,47.876316,-54.08206,62,47,30
