No,ID,Site,Date,Ncoor_DD,Wcoor_DD,Classification,Blue,Green,Red
1,1,NH,6/16/2020,47.87558333,-54.08125,Seaweed,53,51,60
2,2,NH,6/16/2020,47.87565,-54.0812,Eelgrass,52,40,34
3,3,NH,6/16/2020,47.87573333,-54.08127,Eelgrass,56,47,41
4,4,NH,6/16/2020,47.87583333,-54.08133,Eelgrass,54,44,38
5,5,NH,6/16/2020,47.87596667,-54.08147,Eelgrass,54,42,35
6,6,NH,6/16/2020,47.87566667,-54.08147,Seaweed,54,67,70
7,7,NH,6/16/2020,47.87558333,-54.08138,Seaweed,54,63,61
8,8,NH,6/16/2020,47.87538333,-54.08077,Eelgrass,60,44,29
9,9,NH,6/16/2020,47.87545,-54.08063,Eelgrass,52,40,26
10,10,NH,6/16/2020,47.87548333,-54.08052,Eelgrass,62,48,36
11,11,NH,6/16/2020,47.87556667,-54.08038,Eelgrass,52,42,30
12,12,NH,6/16/2020,47.87555,-54.0803,Eelgrass,54,44,29
13,13,NH,6/16/2020,47.87556667,-54.0804,Eelgrass,55,45,32
14,14,NH,6/16/2020,47.87538333,-54.0809,Seaweed,73,115,153
16,16,NH,6/16/2020,47.8756,-54.08167,Seaweed,66,80,87
17,17,NH,6/16/2020,47.87586667,-54.08162,Eelgrass,64,51,45
18,18,NH,6/16/2020,47.87255,-54.08212,Substrate,NA,NA,NA
19,19,NH,6/16/2020,47.87533333,-54.08263,Substrate,76,89,89
20,20,NH,6/16/2020,47.875,-54.08298,Substrate,NA,NA,NA
21,21,NH,6/16/2020,47.87456667,-54.08312,Substrate,NA,NA,NA
22,22,NH,6/16/2020,47.87428333,-54.08387,Seaweed,NA,NA,NA
23,23,NH,6/16/2020,47.87486667,-54.08355,Substrate,NA,NA,NA
24,24,NH,6/16/2020,47.87525,-54.08487,Substrate,86,100,62
25,25,NH,6/16/2020,47.87575,-54.08553,Substrate,106,130,105
27,27,NH,6/16/2020,47.877035,-54.0862,Seaweed,80,86,62
28,28,NH,6/16/2020,47.87685,-54.0862,Eelgrass,69,56,33
29,29,NH,6/16/2020,47.875871,-54.086912,Seaweed,74,80,57
30,30,NH,6/16/2020,47.87505,-54.08903,Exposed seaweed,97,134,146
31,31,NH,6/16/2020,47.8753,-54.08798,Substrate,93,111,68
32,32,NH,6/16/2020,47.87613333,-54.0867,Substrate,98,112,68
33,33,NH,6/16/2020,47.87685,-54.08603,Eelgrass,76,49,30
34,34,NH,6/16/2020,47.87741667,-54.08558,Eelgrass,71,52,27
36,36,NH,6/16/2020,47.878301,-54.085001,Substrate,108,107,100
37,37,NH,6/16/2020,47.87886667,-54.08485,Substrate,89,100,93
38,38,NH,6/16/2020,47.87938333,-54.08492,Eelgrass,77,64,47
40,40,NH,6/16/2020,47.88005,-54.08444,Substrate,107,123,118
41,41,NH,6/16/2020,47.8801,-54.08422,Eelgrass,82,73,65
42,42,NH,6/16/2020,47.88036667,-54.08397,Eelgrass,62,71,38
43,43,NH,6/16/2020,47.88078333,-54.08397,Substrate,88,117,116
44,44,NH,6/16/2020,47.88125,-54.0838,Substrate,79,94,100
45,45,NH,6/16/2020,47.88125,-54.083764,Eelgrass,62,66,54
46,46,NH,6/16/2020,47.881249,-54.083645,Eelgrass,61,84,83
47,47,NH,6/16/2020,47.88125,-54.08347,Substrate,98,117,123
48,1.1,NH,6/16/2020,47.8811,-54.08413,Debris,74,58,57
49,1.2,NH,6/16/2020,47.88115,-54.08413,Debris,70,52,46
50,1.3,NH,6/16/2020,47.88133333,-54.08422,Debris,74,56,58
51,1.4,NH,6/16/2020,47.8814,-54.08422,Debris,66,51,55
52,1.5,NH,6/16/2020,47.88148333,-54.08412,Debris,80,90,105
53,48,NH,6/16/2020,47.88128333,-54.08335,Eelgrass,56,69,47
54,49,NH,6/16/2020,47.88128333,-54.08297,Substrate,91,112,113
55,50,NH,6/16/2020,47.88108,-54.082509,Eelgrass,46,67,56
56,51,NH,6/16/2020,47.88103333,-54.082452,Eelgrass,62,86,88
57,52,NH,6/16/2020,47.88095,-54.0822,Substrate,62,86,88
58,53,NH,6/16/2020,47.88085,-54.08215,Eelgrass,51,59,57
59,54,NH,6/16/2020,47.88061667,-54.08182,Substrate,55,91,105
60,55,NH,6/16/2020,47.88038333,-54.08152,Substrate,70,118,136
61,56,NH,6/16/2020,47.88033333,-54.0813,Substrate,70,117,143
62,57,NH,6/16/2020,47.8806,-54.08063,Substrate,44,65,92
65,60,NH,6/16/2020,47.881433,-54.08157,Eelgrass,53,83,94
66,61,NH,6/16/2020,47.881382,-54.081583,Eelgrass,51,67,73
67,62,NH,6/16/2020,47.87811667,-54.08445,Eelgrass,77,63,37
68,63,NH,6/16/2020,47.8777,-54.08417,Substrate,90,100,95
69,64,NH,6/16/2020,47.87725,-54.08383,Substrate,104,122,112
71,66,NH,6/16/2020,47.8763,-54.08277,Substrate,66,98,96
72,67,NH,6/16/2020,47.87606667,-54.08215,Seaweed,60,67,71
73,68,NH,6/16/2020,47.87606667,-54.08152,Eelgrass,65,55,47
74,69,NH,6/16/2020,47.87638333,-54.08097,Eelgrass,64,53,36
75,70,NH,6/16/2020,47.87671667,-54.08057,Eelgrass,73,69,46
76,71,NH,6/16/2020,47.87713333,-54.08068,Substrate,101,130,127
77,72,NH,6/16/2020,47.87705,-54.07982,Exposed seaweed,96,148,173
78,73,NH,6/16/2020,47.87696667,-54.07982,Exposed seaweed,84,180,204
79,74,NH,6/16/2020,47.876901,-54.079868,Exposed seaweed,67,84,93
80,75,NH,6/16/2020,47.876795,-54.079889,Exposed seaweed,93,154,180
81,76,NH,6/16/2020,47.8767,-54.07992,Substrate,75,99,113
82,77,NH,6/16/2020,47.876465,-54.080069,Exposed seaweed,80,144,166
83,78,NH,6/16/2020,47.87645,-54.08003,Substrate,64,96,118
84,79,NH,6/16/2020,47.87621667,-54.08002,Substrate,60,69,76
85,80,NH,6/16/2020,47.87621667,-54.07998,Exposed seaweed,92,155,176
87,82,NH,6/16/2020,47.87658333,-54.07987,Substrate,89,126,153
88,83,NH,6/16/2020,47.877252,-54.079827,Exposed seaweed,78,109,123
89,84,NH,6/16/2020,47.87721667,-54.07985,Substrate,86,73,65
90,85,NH,6/16/2020,47.87708333,-54.08058,Eelgrass,93,95,70
91,86,NH,6/16/2020,47.87676667,-54.08082,Eelgrass,72,69,39
92,87,NH,6/16/2020,47.87631667,-54.08082,Eelgrass,61,48,35
93,88,NH,6/16/2020,47.87581667,-54.08063,Eelgrass,57,41,29
94,89,NH,6/16/2020,47.8755,-54.08035,Eelgrass,55,42,29
96,91,NH,6/16/2020,47.87496667,-54.07982,Substrate,52,65,90
97,92,NH,6/16/2020,47.87465,-54.07993,Substrate,59,60,66
98,93,NH,6/16/2020,47.875483,-54.081769,Seaweed,66,74,71
99,94,NH,6/16/2020,47.87508333,-54.08213,Seaweed,50,54,42
100,95,NH,6/16/2020,47.87463333,-54.08252,Substrate,63,82,72
101,96,NH,6/16/2020,47.87421667,-54.08285,Substrate,57,75,61
102,97,NH,6/16/2020,47.87386667,-54.0829,Seaweed,50,57,43
103,98,NH,6/16/2020,47.87365,-54.08268,Seaweed,50,58,53
104,99,NH,6/16/2020,47.87351667,-54.08253,Substrate,101,137,97
105,100,NH,6/16/2020,47.87358333,-54.08323,Substrate,58,53,28
106,101,NH,6/16/2020,47.87355,-54.0838,Substrate,NA,NA,NA
107,102,NH,Added,47.873399,-54.083255,Deep water,55,43,19
108,103,NH,Added,47.873532,-54.083412,Deep water,59,46,23
109,104,NH,Added,47.873412,-54.083514,Deep water,57,41,19
110,105,NH,Added,47.873423,-54.083135,Deep water,53,41,19
111,106,NH,Added,47.873659,-54.08345,Deep water,56,50,25
112,107,NH,Added,47.873306,-54.083006,Deep water,61,44,21
113,108,NH,Added,47.873226,-54.083321,Deep water,61,44,21
114,109,NH,Added,47.873158,-54.083013,Deep water,65,47,22
115,110,NH,Added,47.873141,-54.083356,Deep water,62,44,19
116,111,NH,Added,47.874629,-54.085236,Deep water,69,41,22
117,112,NH,Added,47.874482,-54.085252,Deep water,66,41,20
118,113,NH,Added,47.874694,-54.085141,Deep water,69,43,20
119,114,NH,Added,47.874138,-54.085562,Deep water,55,38,20
120,115,NH,Added,47.874086,-54.085083,Deep water,54,38,15
121,116,NH,Added,47.874079,-54.085617,Deep water,54,40,18
122,117,NH,Added,47.873787,-54.085498,Deep water,57,40,20
123,118,NH,Added,47.874351,-54.088287,Deep water,71,43,19
124,119,NH,Added,47.874585,-54.088717,Deep water,71,42,20
125,120,NH,Added,47.874237,-54.088971,Deep water,74,42,18
126,121,NH,Added,47.874642,-54.088782,Deep water,73,42,18
127,122,NH,Added,47.874192,-54.088057,Deep water,73,43,18
128,123,NH,Added,47.873881,-54.087709,Deep water,67,45,18
129,124,NH,Added,47.874293,-54.08776,Deep water,64,40,17
